route_id,agency_id,route_short_name,route_long_name,fare_id
O0636AAA0A,22004,636,Merck - Saens Peña,""
O0955AAA0A,22004,955,Maré - Terminal Alvorada,""
O0805AAA0A,22004,805,Terminal Alvorada - Jardim Oceânico,""
O0497AAA0A,22003,497,Penha - Largo do Machado,""
E2343AAA0A,22003,2343,Ribeira - Castelo,""
E2305AAA0A,22003,2305,Jardim América - Castelo,""
E2342AAA0A,22003,2342,Bananal - Castelo,""
E2344AAA0A,22003,2344,Bancários - Castelo,""
O0254AAA0A,22003,254,Madureira - Candelária,""
O0238AAA0A,22003,238,Água Santa - Castelo,""
O0238AAN0A,22003,SN238,Água Santa - Castelo,""
O0239AAA0A,22003,239,Água Santa - Castelo,""
O0247AAA0A,22003,247,Camarista Méier - Passeio,""
O0249AAA0A,22003,249,Água Santa - Carioca,""
O0265AAA0A,22003,265,Marechal Hermes - Castelo,""
O0265AAN0A,22003,SN265,Marechal Hermes - Castelo,""
O0277AAA0A,22003,277,Rocha Miranda - Candelária,""
O0519AAA0A,22002,519,Urca - Copacabana,""
O0518AAA0A,22002,518,Urca - Botafogo,""
O0915AAA0A,22003,915,Bonsucesso - Aeroporto Internacional do RJ,""
O0232AAA0A,22003,232,Lins de Vasconcelos - Castelo,""
O0885AAA0A,22005,885,Terminal Mato Alto - Santa Cruz,""
O0550AAPBA,22004,SPB550,Tijuquinha - Gávea,""
O0831AAV0A,22004,SV831,Colônia - Terminal Taquara,""
O0692AAV0A,22004,SV692,Méier - Terminal Alvorada,""
O0232AAN0A,22003,SN232,Lins de Vasconcelos - Castelo,""
O0292AAA0A,22003,292,Engenho da Rainha - Castelo,""
O0765AAA0A,22005,765,Mendanha - Terminal Deodoro,""
O0296AAA0A,22003,296,Irajá - Castelo,""
O0866AAV0A,22005,SV866,Terminal Campo Grande - Terminal Pingo d'Água,""
O0753AAA0A,22005,753,Santa Cruz - Metrô Coelho Neto,""
O0298AAA0A,22003,298,Acari - Castelo,""
O0311AAA0A,22003,311,Engenheiro Leal - Candelária,""
O0803AAP0A,22005,SP803,Jabour - Terminal Sulacap,""
O0312AAA0A,22003,312,Olaria - Candelária,""
O0313AAA0A,22003,313,Penha (Grotão) - Praça Tiradentes,""
O0321AAA0A,22003,321,Bancários - Castelo,""
O0323AAA0A,22003,323,Bananal - Castelo,""
O0325AAA0A,22003,325,Ribeira - Castelo,""
O0326AAA0A,22003,326,Bancários - Candelária,""
O0327AAA0A,22003,327,Ribeira - Castelo,""
O0328AAA0A,22003,328,Bananal - Candelária,""
O0329AAA0A,22003,329,Bancários - Candelária,""
O0342AAA0A,22003,342,Jardim América - Castelo,""
O0342AAR0A,22003,SR342,Jardim América - Castelo,""
O0349AAA0A,22003,349,Rocha Miranda - Castelo,""
O0355AAA0A,22003,355,Madureira - Praça Tiradentes,""
O0355AAR0A,22003,SR355,Madureira - Praça Tiradentes,""
O0362AAA0A,22003,362,Honório Gurgel - Castelo,""
O0362AAR0A,22003,SR362,Honório Gurgel - Castelo,""
O0378AAA0A,22003,378,Marechal Hermes - Castelo,""
O0378AAR0A,22003,SR378,Marechal Hermes - Castelo,""
O0384AAA0A,22003,384,Pavuna - Passeio,""
O0385AAA0A,22003,385,Village Pavuna - Passeio,""
O0324AAN0A,22003,SN324,Ribeira - Candelária,""
O0298AAN0A,22003,SN298,Acari - Castelo,""
O0399AAA0A,22003,399,Pavuna - Passeio,""
O0404AAP0A,22003,SP404,Caju - Leblon,""
O0455AAA0A,22003,455,Méier - Copacabana,""
O0456AAA0A,22003,456,Norte Shopping - Copacabana,""
O0457AAA0A,22003,457,Abolição - Copacabana,""
O0483AAA0A,22003,483,Penha - General Osório,""
O0484AAA0A,22003,484,Olaria - General Osório,""
O0492AAA0A,22003,492,Bancários - Prado Júnior,""
O0386AAA0A,22003,386,Anchieta - Candelária,""
O0621AAA0A,22003,621,Penha - Saens Peña,""
O0622AAA0A,22003,622,Penha - Saens Peña,""
O0623AAA0A,22003,623,Penha - Saens Peña,""
O0624AAA0A,22003,624,Mariópolis - Praça da Bandeira,""
O0625AAA0A,22003,625,Olaria - Saens Peña,""
O0627AAA0A,22003,627,Inhaúma - Saens Peña,""
O0628AAA0A,22003,628,Penha - Nova América,""
O0629AAA0A,22003,629,Irajá - Saens Peña,""
O0630AAA0A,22003,630,Penha (IAPI) - Saens Peña,""
O0634AAA0A,22003,634,Bananal - Saens Peña,""
O0638AAA0A,22003,638,Marechal Hermes - Saens Peña,""
O0639AAA0A,22003,639,Jardim América - Saens Peña,""
O0650AAA0A,22003,650,Marechal Hermes - Engenho Novo,""
O0665AAA0A,22003,665,Pavuna - Saens Peña,""
O0665AAVAA,22003,SVA665,Pavuna - Saens Peña,""
O0665AAVBA,22003,SVB665,Pavuna - Saens Peña,""
O0669AAA0A,22003,669,Pavuna - Méier,""
O0669AAV0A,22003,SV669,Pavuna - Méier,""
O0679AAA0A,22003,679,Grotão - Méier,""
O0685AAA0A,22003,685,Irajá - Méier,""
O0685AAVAA,22003,SVA685,Irajá - Méier,""
O0685AAVBA,22003,SVB685,Irajá - Méier,""
O0687AAA0A,22003,687,Pavuna - Méier,""
O0688AAA0A,22003,688,Méier - Pavuna,""
O0696AAA0A,22003,696,Méier - Praia do Dendê,""
O0711AAA0A,22003,711,Rocha Miranda - Rio Comprido,""
O0721AAA0A,22003,721,Vila Cruzeiro - Cascadura,""
O0778AAA0A,22003,778,Pavuna - Cascadura,""
O0629AAN0A,22003,SN629,Irajá - Saens Peña,""
O0457AAN0A,22003,SN457,Abolição - Copacabana,""
O0639AAN0A,22003,SN639,Jardim América - Saens Peña,""
O0901AAA0A,22003,901,Bonsucesso - Bananal,""
O0905AAA0A,22003,905,Bonsucesso - Irajá,""
O0906AAA0A,22003,906,Jardim América - Caju,""
O0606AAV0A,22003,SV606,Engenho de Dentro - Terminal Gentileza,""
O0910AAA0A,22003,910,Bananal - Irajá,""
O0913AAA0A,22003,913,Del Castilho - Fundão,""
O0920AAA0A,22003,920,Pavuna - Bonsucesso,""
O0485AAP0A,22003,SP485,Cidade Nova - Fundão,""
O0663AAA0A,22003,663,Méier - Fundão,""
O0917AAA0A,22003,LECD113,Padre Miguel - Bonsucesso,""
O0928AAA0A,22003,928,Marechal Hermes - Bonsucesso,""
O0950AAA0A,22003,950,Vicente de Carvalho - Vista Alegre,""
O0951AAA0A,22003,951,Vicente de Carvalho - Vista Alegre,""
O0315AAA0A,22004,315,Central - Recreio dos Bandeirantes,""
O0306AAA0A,22004,306,Praça Seca - Castelo,""
O0338AAA0A,22004,338,Taquara - Candelária,""
O0341AAA0A,22004,341,Taquara - Candelária,""
O0343AAA0A,22004,343,Jardim Oceânico - Candelária,""
O0343AAP0A,22004,SP343,Rio das Pedras - Candelária,""
O0348AAA0A,22004,348,Riocentro - Candelária,""
O0363AAA0A,22004,363,Vila Valqueire - Candelária,""
O0363AAV0A,22004,SV363,Vila Valqueire - Candelária,""
O0368AAA0A,22004,368,Riocentro - Candelária,""
O0380AAA0A,22004,380,Curicica - Candelária,""
O0925AAA0A,22003,925,Aeroporto Internacional do RJ - Bancários,""
O0793AAA0A,22003,793,Pavuna - Terminal Sulacap,""
O0945AAA0A,22003,945,Pavuna - Terminal Fundão,""
O0363AAN0A,22004,SN363,Vila Valqueire - Candelária,""
O0302AAN0A,22004,SN302,Terminal Gentileza - Terminal Alvorada,""
O0390AAA0A,22004,390,Curicica - Candelária,""
O0550AAA0A,22004,550,Cidade de Deus - Gávea,""
O0555AAA0A,22004,555,Rio das Pedras - Gávea,""
O0557AAA0A,22004,557,Rio das Pedras - Copacabana,""
O0565AAA0A,22004,565,Tanque - Gávea,""
O0600AAA0A,22004,600,Taquara - Saens Peña,""
O0361AAA0A,22004,361,Recreio dos Bandeirantes - Castelo,""
E2111AAA0A,22004,2111,Praça Seca - Castelo,""
E2110AAA0A,22004,2110,Gardênia Azul - Castelo,""
E2112AAA0A,22004,2112,Taquara - Castelo,""
E2114AAA0A,22004,2114,Freguesia - Castelo,""
E2345AAA0A,22004,2345,Vila Valqueire - Castelo,""
O0309AAN0A,22004,SN309,Terminal Alvorada - Terminal Gentileza,""
O0309AAA0A,22004,309,Terminal Alvorada - Central,""
O0601AAA0A,22004,601,Santa Maria - Saens Peña,""
O0352AAA0A,22004,352,Riocentro - Candelária,""
O0607AAA0A,22004,607,Cascadura - Rio Comprido,""
O0610AAA0A,22004,610,Del Castilho - Tanque,""
O0611AAA0A,22004,611,Camorim - Del Castilho,""
O0613AAA0A,22004,613,Vargem Grande - Del Castilho,""
O0613AAPAA,22004,SPA613,Riocentro - Del Castilho,""
O0678AAA0A,22004,678,Méier - Vila Valqueire,""
O0691AAA0A,22004,691,Méier - Cidade de Deus,""
O0712AAA0A,22004,712,Cascadura - Irajá,""
O0766AAA0A,22004,766,Madureira - Freguesia,""
O0774AAA0A,22004,774,Madureira - Jardim América,""
O0774AAV0A,22004,SV774,Madureira - Jardim América,""
O0775AAA0A,22004,775,Jardim América - Madureira,""
O0829AAA0A,22004,829,Gardênia Azul - Freguesia,""
O0810AAA0A,22004,810,Terminal Taquara - Pontal,""
O0831AAA0A,22004,831,Colônia - Terminal Taquara,""
O0302AAA0A,22004,302,Terminal Gentileza - Terminal Alvorada,""
O0565AAN0A,22004,SN565,Tanque - Gávea,""
O0844AAA0A,22004,844,Jardim Oceânico - Barrinha,""
O0550AAN0A,22004,SN550,Cidade de Deus - Gávea,""
E2918AAA0A,22004,2918,Aeroporto Internacional do RJ - Terminal Alvorada,""
O0810AAP0A,22004,SP810,Terminal Taquara - Vargem Grande,""
O0859AAA0A,22004,859,Covanca - Largo do Tanque,""
O0861AAA0A,22004,861,Rio das Pedras - Curicica,""
O0878AAA0A,22004,878,Tanque - Barra da Tijuca,""
O0878AAV0A,22004,SV878,Tanque - Barra da Tijuca,""
O0636AAN0A,22004,SN636,Merck - Saens Peña,""
O0863AAA0A,22004,863,Rio das Pedras - Barra da Tijuca,""
O0862AAA0A,22004,862,Rio das Pedras - Barra da Tijuca,""
O0693AAA0A,22004,693,Méier - Terminal Alvorada,""
O0692AAA0A,22004,692,Méier - Terminal Alvorada,""
O0614AAA0A,22004,614,Del Castilho - Terminal Alvorada,""
O0810AAN0A,22004,SN810,Terminal Taquara - Pontal,""
O0880AAA0A,22004,880,Rio das Pedras - Terminal Alvorada,""
O0932AAA0A,22004,932,Gardênia Azul - Tanque,""
O0940AAA0A,22004,940,Ramos (Praia) - Madureira,""
O0652AAA0A,22004,652,Cascadura - Méier,""
O0369AAA0A,22005,369,Bangu - Candelária,""
O0383AAA0A,22005,383,Realengo - Praça da República,""
O0388AAA0A,22005,388,Santa Cruz - Candelária,""
O0393AAA0A,22005,393,Bangu - Candelária,""
O0393AAR0A,22005,SR393,Bangu - Candelária,""
E2307AAA0A,22005,2307,Jardim 7 de Abril - Carioca,""
E2308AAA0A,22005,2308,Cosmos - Carioca,""
E2309AAA0A,22005,2309,Urucânia - Carioca,""
E2310AAA0A,22005,2310,Bangu - Candelária,""
E2803AAA0A,22005,2803,Vila Kennedy - Terminal Alvorada,""
O0900AAA0A,22004,900,Taquara - Downtown,""
O0865AAA0A,22004,865,Pau da Fome - Terminal Taquara,""
O0954AAA0A,22004,954,Terminal Taquara - Recreio dos Bandeirantes,""
O0954AAN0A,22004,SN954,Terminal Taquara - Recreio dos Bandeirantes,""
O0393AAN0A,22005,SN393,Bangu - Candelária,""
O0300AAR0A,22005,SR300,Terminal Sulacap - Candelária,""
O0878AAN0A,22004,SN878,Tanque - Barra da Tijuca,""
E2336AAA0A,22005,2336,Campo Grande - Castelo,""
E2303AAA0A,22005,2303,Cesarão - Carioca,""
E2334AAA0A,22005,2334,Campo Grande - Castelo,""
E2335AAA0A,22005,2335,Santa Cruz - Castelo,""
E2337AAA0A,22005,2337,Santa Cruz - Castelo,""
E2339AAA0A,22005,2339,Campo Grande - Castelo,""
E2381AAA0A,22005,2381,Pedra de Guaratiba - Castelo,""
E2383AAA0A,22005,2383,Sepetiba - Carioca,""
E2802AAA0A,22005,2802,Santa Cruz - Barra da Tijuca,""
E2804AAA0A,22005,2804,Bangu - Barra da Tijuca,""
O0731AAA0A,22005,731,Campo Grande - Marechal Hermes,""
O0731AAN0A,22005,SN731,Campo Grande - Marechal Hermes,""
O0745AAA0A,22005,745,Bangu - Cascadura,""
O0746AAA0A,22005,746,Jabour - Cascadura,""
O0756AAA0A,22005,756,Santa Cruz - Coelho Neto,""
O0759AAA0A,22005,759,Cesarão - Coelho Neto,""
O0777AAV0A,22005,SV777,Padre Miguel - Madureira,""
O0790AAA0A,22005,790,Campo Grande - Cascadura,""
O0794AAA0A,22005,794,Bangu - Cascadura,""
O0801AAA0A,22005,801,Bangu - Taquara,""
O0801AAP0A,22005,SP801,Bangu - Terminal Sulacap,""
O0809AAA0A,22005,809,Sagrado Coração - Santa Cruz,""
O0812AAA0A,22005,812,Carobinha - Bangu,""
E2338AAA0A,22005,2338,Terminal Campo Grande - Castelo,""
O0770AAA0A,22005,770,Campo Grande - Metrô Coelho Neto,""
O0771AAA0A,22005,771,Campo Grande - Metrô Coelho Neto,""
O0802AAA0A,22005,802,Terminal Campo Grande - Bangu,""
O0397AAR0A,22005,SR397,Terminal Campo Grande - Candelária,""
O0397AAN0A,22005,SN397,Terminal Campo Grande - Candelária,""
O0790AAN0A,22005,SN790,Campo Grande - Cascadura,""
O0819AAA0A,22005,819,Jardim Bangu - Bangu,""
O0821AAA0A,22005,821,Campo Grande - Corcundinha,""
O0822AAA0A,22005,822,Campo Grande - Corcundinha,""
O0825AAA0A,22005,825,Campo Grande - Jesuítas,""
O0830AAA0A,22005,830,Pedregoso - Campo Grande,""
O0833AAA0A,22005,833,Conjunto Manguariba - Campo Grande,""
O0741AAA0A,22005,741,Terminal Sulacap - Bangu,""
O0743AAA0A,22005,743,Terminal Sulacap - Bangu,""
O0840AAA0A,22005,840,São Fernando - Campo Grande,""
O0842AAA0A,22005,842,Paciência - Campo Grande,""
O0849AAA0A,22005,849,Base Aérea de Santa Cruz - Campo Grande,""
O0851AAA0A,22005,851,Campo Grande - Escola Amazonas,""
O0790AAV0A,22005,SV790,Campo Grande - Cascadura,""
O0918AAP0A,22005,SP918,Jardim Violeta - Terminal Deodoro,""
O0794AAN0A,22005,SN794,Jabour - Cascadura,""
O0869AAA0A,22005,869,Santa Margarida - Campo Grande,""
O0807AAA0A,22005,807,Jesuítas - Terminal Curral Falso,""
O0803AAN0A,22005,SN803,Jabour - Taquara,""
O0803AAA0A,22005,803,Jabour - Taquara,""
O0870AAA0A,22005,870,Sepetiba - Santa Cruz,""
O0835AAA0A,22005,835,Largo do Correia - Terminal Campo Grande,""
O0837AAA0A,22005,837,Terminal Campo Grande - Conjunto da Marinha,""
O0838AAA0A,22005,838,Terminal Campo Grande - Terminal Magarça,""
O0846AAA0A,22005,846,Rio da Prata - Terminal Campo Grande,""
O0852AAA0A,22005,852,Terminal Campo Grande - Pedra de Guaratiba,""
O0866AAA0A,22005,866,Terminal Campo Grande - Pedra de Guaratiba,""
O0867AAA0A,22005,867,Barra de Guaratiba - Terminal Campo Grande,""
O0884AAA0A,22005,884,Sepetiba - Terminal Campo Grande,""
O0884AAN0A,22005,SN884,Sepetiba - Terminal Campo Grande,""
O0840AAN0A,22005,SN840,São Fernando - Campo Grande,""
O0867AAN0A,22005,SN867,Barra de Guaratiba - Terminal Campo Grande,""
O0892AAA0A,22005,892,São Benedito - Santa Cruz,""
O0893AAA0A,22005,893,Jardim Palmares - Campo Grande,""
O0895AAA0A,22005,895,Serrinha - Campo Grande,""
O0843AAA0A,22005,843,Boa Esperança - Campo Grande,""
O0898AAA0A,22005,898,Sepetiba - Campo Grande,""
O0918AAA0A,22005,918,Bangu - Bonsucesso,""
O0926AAA0A,22005,926,Senador Camará - Penha,""
O0006AAA0A,22002,006,Silvestre - Castelo,""
